timestamp_unix,O1,O2,T3,T4
1762668925.354162,-39523.735642,-44528.622180,-46524.092555,-69869.682193
1762668925.342162,-39511.527866,-44524.427503,-46523.712575,-69866.627455
1762668925.346162,-39461.556822,-44489.711523,-46506.162733,-69854.423404
1762668925.352266,-39437.904954,-44465.679675,-46494.338661,-69844.119251
1762668925.356266,-39473.380893,-44490.095228,-46498.533338,-69850.228727
1762668925.352266,-39521.444589,-44528.622180,-46514.555812,-69863.192737
1762668925.356266,-39530.221373,-44549.223036,-46523.328871,-69868.154824
1762668925.372472,-39452.780038,-44483.225793,-46498.917043,-69844.886661
1762668925.376472,-39423.406124,-44456.522912,-46484.801918,-69834.969938
1762668925.372472,-39475.668222,-44493.909925,-46500.824392,-69851.748645
1762668925.376472,-39539.374411,-44559.519738,-46530.578285,-69879.218936
1762668925.382577,-39522.591978,-44546.931982,-46527.907252,-69873.876870
1762668925.386577,-39445.914328,-44480.938464,-46499.297023,-69849.081337
1762668925.382577,-39428.368211,-44465.299696,-46487.472951,-69846.026599
1762668925.386577,-39472.617209,-44501.919299,-46503.875405,-69858.618081
1762668925.392726,-39518.393576,-44541.973621,-46523.328871,-69870.822132
1762668925.396726,-39511.147887,-44531.673193,-46519.897878,-69870.442152
1762668925.402836,-39454.307407,-44489.711523,-46501.204371,-69857.858121
1762668925.406836,-39427.220821,-44461.484998,-46493.574977,-69848.321378
1762668925.423084,-39464.224130,-44489.331543,-46501.584351,-69857.858121
1762668925.427084,-39519.920945,-44530.149549,-46518.750489,-69868.154824
1762668925.423084,-39530.221373,-44554.945081,-46528.670937,-69875.784218
1762668925.427084,-39468.038827,-44495.433569,-46510.741115,-69857.470691
1762668925.433191,-39437.141269,-44467.587024,-46495.482326,-69844.119251
1762668925.437191,-39468.802512,-44492.002577,-46508.070081,-69853.276014
1762668925.453425,-39529.457688,-44552.654028,-46538.207680,-69877.691567
1762668925.457425,-39540.138096,-44551.130384,-46537.064016,-69874.256849
1762668925.453425,-39454.687387,-44484.753162,-46503.111720,-69845.646620
1762668925.457425,-39430.655539,-44474.452734,-46497.009695,-69846.026599
1762668925.461425,-39487.112314,-44522.900134,-46514.935791,-69868.154824
1762668925.465425,-39524.879307,-44554.561377,-46523.712575,-69873.496890
1762668925.453425,-39506.569505,-44543.880969,-46517.226845,-69870.062172
1762668925.457425,-39446.678013,-44498.104602,-46498.153359,-69855.183363
1762668925.473563,-39417.304099,-44470.258057,-46488.996595,-69844.886661
1762668925.477563,-39447.441697,-44491.238892,-46492.431313,-69850.988686
1762668925.473563,-39495.505393,-44525.951147,-46505.399048,-69859.765470
1762668925.477563,-39494.741708,-44541.209936,-46514.555812,-69865.867496
1762668925.483703,-39425.697178,-44477.123767,-46490.903944,-69845.266640
1762668925.487703,-39407.387376,-44451.184571,-46477.932483,-69838.397205
1762668925.483703,-39452.016354,-44487.804174,-46486.325562,-69849.081337
1762668925.487703,-39503.898472,-44546.168298,-46508.070081,-69869.682193
1762668925.503875,-39495.889097,-44535.871595,-46506.162733,-69864.720106
1762668925.507875,-39431.799203,-44474.452734,-46484.801918,-69847.173989
1762668925.514018,-39421.498775,-44460.721314,-46481.367201,-69843.359292
1762668925.518018,-39466.895163,-44496.197253,-46498.533338,-69850.608706
1762668925.522018,-39529.837668,-44549.982995,-46524.856240,-69873.496890
1762668925.526018,-39518.393576,-44544.644654,-46528.670937,-69876.544178
1762668925.514018,-39466.131479,-44508.021325,-46512.648463,-69861.672819
1762668925.518018,-39448.201656,-44484.753162,-46501.968056,-69852.896035
1762668925.534224,-39493.598044,-44516.798109,-46516.083181,-69864.720106
1762668925.538224,-39545.096457,-44558.759779,-46534.392983,-69880.358875
1762668925.554463,-39548.911154,-44578.976929,-46537.823975,-69885.320961
1762668925.558463,-39477.195591,-44513.743371,-46516.843140,-69864.340127
1762668925.564538,-39458.502084,-44486.280531,-46504.639089,-69857.090712
1762668925.568538,-39494.361728,-44520.992786,-46520.657837,-69868.914783
1762668925.572538,-39536.323398,-44563.334435,-46535.536647,-69879.978895
1762668925.576538,-39518.393576,-44548.075646,-46529.814601,-69872.729480
1762668925.564538,-39437.904954,-44475.216419,-46498.533338,-69845.646620
1762668925.568538,-39416.160434,-44454.999268,-46487.089247,-69834.582508
